run, program, qubits, run time, number_of_transformations
5, var_q2_01_R, 2, 0.021166563034057617, 3
6, var_q2_01_R, 2, 0.02162766456604004, 3
7, var_q2_01_R, 2, 0.021509170532226562, 3
8, var_q2_01_R, 2, 0.02198624610900879, 3
9, var_q2_01_R, 2, 0.02106928825378418, 3
10, var_q2_01_R, 2, 0.020923376083374023, 3
11, var_q2_01_R, 2, 0.021161317825317383, 3
12, var_q2_01_R, 2, 0.0209200382232666, 3
13, var_q2_01_R, 2, 0.021144390106201172, 3
14, var_q2_01_R, 2, 0.021630048751831055, 3
15, var_q2_01_R, 2, 0.0211336612701416, 3
16, var_q2_01_R, 2, 0.0215604305267334, 3
17, var_q2_01_R, 2, 0.020972013473510742, 3
18, var_q2_01_R, 2, 0.021123409271240234, 3
19, var_q2_01_R, 2, 0.021731853485107422, 3
20, var_q2_01_R, 2, 0.021411657333374023, 3
21, var_q2_01_R, 2, 0.021338462829589844, 3
22, var_q2_01_R, 2, 0.021503686904907227, 3
23, var_q2_01_R, 2, 0.020940303802490234, 3
24, var_q2_01_R, 2, 0.020901203155517578, 3
25, var_q2_01_R, 2, 0.02092123031616211, 3
26, var_q2_01_R, 2, 0.02121901512145996, 3
27, var_q2_01_R, 2, 0.02121877670288086, 3
28, var_q2_01_R, 2, 0.021323204040527344, 3
29, var_q2_01_R, 2, 0.020770788192749023, 3
30, var_q2_01_R, 2, 0.020763874053955078, 3
31, var_q2_01_R, 2, 0.02107381820678711, 3
32, var_q2_01_R, 2, 0.021022796630859375, 3
33, var_q2_01_R, 2, 0.02096724510192871, 3
34, var_q2_01_R, 2, 0.02107381820678711, 3
35, var_q2_01_R, 2, 0.020915746688842773, 3
36, var_q2_01_R, 2, 0.021201610565185547, 3
37, var_q2_01_R, 2, 0.020398378372192383, 3
38, var_q2_01_R, 2, 0.021570205688476562, 3
39, var_q2_01_R, 2, 0.02098560333251953, 3
40, var_q2_01_R, 2, 0.020495176315307617, 3
41, var_q2_01_R, 2, 0.021605730056762695, 3
42, var_q2_01_R, 2, 0.020986080169677734, 3
43, var_q2_01_R, 2, 0.021312236785888672, 3
44, var_q2_01_R, 2, 0.021190643310546875, 3
