Qubits, depth,Program var,Run Num,category,Approach,ms all,ms X,ms Z,ms Ry
2,6,var_q2_01,0,var,Random,73.33333333333333,0.0,66.66666666666666,100.0
2,6,var_q2_01,1,var,Random,60.0,0.0,33.33333333333333,88.88888888888889
2,6,var_q2_01,2,var,Random,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,6,var_q2_01,3,var,Random,80.0,66.66666666666666,33.33333333333333,100.0
2,6,var_q2_01,4,var,Random,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
2,6,var_q2_01,5,var,Random,73.33333333333333,33.33333333333333,100.0,77.77777777777779
2,6,var_q2_01,6,var,Random,73.33333333333333,100.0,33.33333333333333,77.77777777777779
2,6,var_q2_01,7,var,Random,60.0,0.0,66.66666666666666,77.77777777777779
2,6,var_q2_01,8,var,Random,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,6,var_q2_01,9,var,Random,66.66666666666666,33.33333333333333,0.0,100.0
2,6,var_q2_01,10,var,Random,60.0,33.33333333333333,66.66666666666666,66.66666666666666
2,6,var_q2_01,11,var,Random,60.0,66.66666666666666,0.0,77.77777777777779
2,6,var_q2_01,12,var,Random,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
2,6,var_q2_01,13,var,Random,66.66666666666666,0.0,33.33333333333333,100.0
2,6,var_q2_01,14,var,Random,60.0,33.33333333333333,33.33333333333333,77.77777777777779
2,6,var_q2_01,15,var,Random,60.0,66.66666666666666,0.0,77.77777777777779
2,6,var_q2_01,16,var,Random,40.0,66.66666666666666,0.0,44.44444444444444
2,6,var_q2_01,17,var,Random,66.66666666666666,66.66666666666666,0.0,88.88888888888889
2,6,var_q2_01,18,var,Random,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
2,6,var_q2_01,19,var,Random,86.66666666666667,100.0,66.66666666666666,88.88888888888889
2,6,var_q2_01,20,var,Random,60.0,0.0,0.0,100.0
2,6,var_q2_01,21,var,Random,80.0,66.66666666666666,66.66666666666666,88.88888888888889
2,6,var_q2_01,22,var,Random,60.0,0.0,0.0,100.0
2,6,var_q2_01,23,var,Random,80.0,33.33333333333333,100.0,88.88888888888889
2,6,var_q2_01,24,var,Random,73.33333333333333,66.66666666666666,100.0,66.66666666666666
2,6,var_q2_01,25,var,Random,86.66666666666667,66.66666666666666,100.0,88.88888888888889
2,6,var_q2_01,26,var,Random,73.33333333333333,33.33333333333333,100.0,77.77777777777779
2,6,var_q2_01,27,var,Random,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
2,6,var_q2_01,28,var,Random,86.66666666666667,33.33333333333333,100.0,100.0
2,6,var_q2_01,29,var,Random,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
2,7,var_q2_02,0,var,Random,80.0,33.33333333333333,100.0,88.88888888888889
2,7,var_q2_02,1,var,Random,60.0,66.66666666666666,0.0,77.77777777777779
2,7,var_q2_02,2,var,Random,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
2,7,var_q2_02,3,var,Random,80.0,66.66666666666666,66.66666666666666,88.88888888888889
2,7,var_q2_02,4,var,Random,46.666666666666664,0.0,0.0,77.77777777777779
2,7,var_q2_02,5,var,Random,80.0,66.66666666666666,66.66666666666666,88.88888888888889
2,7,var_q2_02,6,var,Random,53.333333333333336,33.33333333333333,33.33333333333333,66.66666666666666
2,7,var_q2_02,7,var,Random,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
2,7,var_q2_02,8,var,Random,60.0,66.66666666666666,33.33333333333333,66.66666666666666
2,7,var_q2_02,9,var,Random,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
2,7,var_q2_02,10,var,Random,73.33333333333333,100.0,33.33333333333333,77.77777777777779
2,7,var_q2_02,11,var,Random,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,7,var_q2_02,12,var,Random,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,7,var_q2_02,13,var,Random,60.0,0.0,0.0,100.0
2,7,var_q2_02,14,var,Random,60.0,33.33333333333333,33.33333333333333,77.77777777777779
2,7,var_q2_02,15,var,Random,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
2,7,var_q2_02,16,var,Random,53.333333333333336,0.0,0.0,88.88888888888889
2,7,var_q2_02,17,var,Random,46.666666666666664,33.33333333333333,33.33333333333333,55.55555555555556
2,7,var_q2_02,18,var,Random,86.66666666666667,66.66666666666666,100.0,88.88888888888889
2,7,var_q2_02,19,var,Random,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
2,7,var_q2_02,20,var,Random,86.66666666666667,66.66666666666666,66.66666666666666,100.0
2,7,var_q2_02,21,var,Random,66.66666666666666,0.0,33.33333333333333,100.0
2,7,var_q2_02,22,var,Random,60.0,33.33333333333333,33.33333333333333,77.77777777777779
2,7,var_q2_02,23,var,Random,66.66666666666666,0.0,66.66666666666666,88.88888888888889
2,7,var_q2_02,24,var,Random,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
2,7,var_q2_02,25,var,Random,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
2,7,var_q2_02,26,var,Random,60.0,66.66666666666666,33.33333333333333,66.66666666666666
2,7,var_q2_02,27,var,Random,86.66666666666667,66.66666666666666,66.66666666666666,100.0
2,7,var_q2_02,28,var,Random,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
2,7,var_q2_02,29,var,Random,53.333333333333336,33.33333333333333,66.66666666666666,55.55555555555556
2,7,var_q2_03,0,var,Random,86.66666666666667,100.0,66.66666666666666,88.88888888888889
2,7,var_q2_03,1,var,Random,60.0,33.33333333333333,66.66666666666666,66.66666666666666
2,7,var_q2_03,2,var,Random,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
2,7,var_q2_03,3,var,Random,66.66666666666666,33.33333333333333,66.66666666666666,77.77777777777779
