Qubits, depth,Program var,Run Num,category,Approach,ms all,ms X,ms Z,ms Ry
6,178,aamp_q6_0,0,aamp,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
6,178,aamp_q6_0,1,aamp,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
6,178,aamp_q6_0,2,aamp,Greedy,86.66666666666667,33.33333333333333,100.0,100.0
6,178,aamp_q6_0,3,aamp,Greedy,80.0,66.66666666666666,66.66666666666666,88.88888888888889
6,178,aamp_q6_0,4,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,178,aamp_q6_0,5,aamp,Greedy,86.66666666666667,66.66666666666666,66.66666666666666,100.0
6,178,aamp_q6_0,6,aamp,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
6,178,aamp_q6_0,7,aamp,Greedy,73.33333333333333,0.0,66.66666666666666,100.0
6,178,aamp_q6_0,8,aamp,Greedy,80.0,33.33333333333333,66.66666666666666,100.0
6,178,aamp_q6_0,9,aamp,Greedy,86.66666666666667,66.66666666666666,66.66666666666666,100.0
6,178,aamp_q6_0,10,aamp,Greedy,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
6,178,aamp_q6_0,11,aamp,Greedy,80.0,66.66666666666666,66.66666666666666,88.88888888888889
6,178,aamp_q6_0,12,aamp,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
6,178,aamp_q6_0,13,aamp,Greedy,86.66666666666667,66.66666666666666,66.66666666666666,100.0
6,178,aamp_q6_0,14,aamp,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
6,178,aamp_q6_0,15,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,178,aamp_q6_0,16,aamp,Greedy,86.66666666666667,100.0,66.66666666666666,88.88888888888889
6,178,aamp_q6_0,17,aamp,Greedy,86.66666666666667,66.66666666666666,66.66666666666666,100.0
6,178,aamp_q6_0,18,aamp,Greedy,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
6,178,aamp_q6_0,19,aamp,Greedy,80.0,100.0,33.33333333333333,88.88888888888889
6,178,aamp_q6_0,20,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,178,aamp_q6_0,21,aamp,Greedy,73.33333333333333,66.66666666666666,0.0,100.0
6,178,aamp_q6_0,22,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,178,aamp_q6_0,23,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,178,aamp_q6_0,24,aamp,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
6,178,aamp_q6_0,25,aamp,Greedy,80.0,33.33333333333333,66.66666666666666,100.0
6,178,aamp_q6_0,26,aamp,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
6,178,aamp_q6_0,27,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,178,aamp_q6_0,28,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,178,aamp_q6_0,29,aamp,Greedy,86.66666666666667,66.66666666666666,66.66666666666666,100.0
6,30,aamp_q6_1,0,aamp,Greedy,66.66666666666666,0.0,33.33333333333333,100.0
6,30,aamp_q6_1,1,aamp,Greedy,66.66666666666666,66.66666666666666,0.0,88.88888888888889
6,30,aamp_q6_1,2,aamp,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
6,30,aamp_q6_1,3,aamp,Greedy,73.33333333333333,66.66666666666666,0.0,100.0
6,30,aamp_q6_1,4,aamp,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,5,aamp,Greedy,60.0,33.33333333333333,33.33333333333333,77.77777777777779
6,30,aamp_q6_1,6,aamp,Greedy,66.66666666666666,100.0,0.0,77.77777777777779
6,30,aamp_q6_1,7,aamp,Greedy,73.33333333333333,66.66666666666666,0.0,100.0
6,30,aamp_q6_1,8,aamp,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,9,aamp,Greedy,93.33333333333333,100.0,66.66666666666666,100.0
6,30,aamp_q6_1,10,aamp,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,11,aamp,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,12,aamp,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
6,30,aamp_q6_1,13,aamp,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
6,30,aamp_q6_1,14,aamp,Greedy,73.33333333333333,66.66666666666666,66.66666666666666,77.77777777777779
6,30,aamp_q6_1,15,aamp,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,16,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,30,aamp_q6_1,17,aamp,Greedy,66.66666666666666,66.66666666666666,0.0,88.88888888888889
6,30,aamp_q6_1,18,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,30,aamp_q6_1,19,aamp,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
6,30,aamp_q6_1,20,aamp,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,21,aamp,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,22,aamp,Greedy,86.66666666666667,100.0,33.33333333333333,100.0
6,30,aamp_q6_1,23,aamp,Greedy,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
6,30,aamp_q6_1,24,aamp,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,25,aamp,Greedy,86.66666666666667,66.66666666666666,100.0,88.88888888888889
6,30,aamp_q6_1,26,aamp,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
6,30,aamp_q6_1,27,aamp,Greedy,60.0,33.33333333333333,33.33333333333333,77.77777777777779
6,30,aamp_q6_1,28,aamp,Greedy,93.33333333333333,100.0,66.66666666666666,100.0
6,30,aamp_q6_1,29,aamp,Greedy,93.33333333333333,100.0,66.66666666666666,100.0
6,121,aamp_q6_2,0,aamp,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
6,121,aamp_q6_2,1,aamp,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
6,121,aamp_q6_2,2,aamp,Greedy,66.66666666666666,66.66666666666666,0.0,88.88888888888889
6,121,aamp_q6_2,3,aamp,Greedy,73.33333333333333,100.0,33.33333333333333,77.77777777777779
6,121,aamp_q6_2,4,aamp,Greedy,93.33333333333333,66.66666666666666,100.0,100.0
