Qubits, depth,Program var,Run Num,category,Approach,ms all,ms X,ms Z,ms Ry
3,5,gs_q3,0,gs,Greedy,46.666666666666664,33.33333333333333,33.33333333333333,55.55555555555556
3,5,gs_q3,1,gs,Greedy,86.66666666666667,100.0,33.33333333333333,100.0
3,5,gs_q3,2,gs,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
3,5,gs_q3,3,gs,Greedy,53.333333333333336,33.33333333333333,33.33333333333333,66.66666666666666
3,5,gs_q3,4,gs,Greedy,86.66666666666667,100.0,66.66666666666666,88.88888888888889
3,5,gs_q3,5,gs,Greedy,60.0,100.0,0.0,66.66666666666666
3,5,gs_q3,6,gs,Greedy,60.0,100.0,0.0,66.66666666666666
3,5,gs_q3,7,gs,Greedy,53.333333333333336,33.33333333333333,0.0,77.77777777777779
3,5,gs_q3,8,gs,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,5,gs_q3,9,gs,Greedy,86.66666666666667,100.0,66.66666666666666,88.88888888888889
3,5,gs_q3,10,gs,Greedy,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
3,5,gs_q3,11,gs,Greedy,60.0,0.0,33.33333333333333,88.88888888888889
3,5,gs_q3,12,gs,Greedy,60.0,33.33333333333333,0.0,88.88888888888889
3,5,gs_q3,13,gs,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
3,5,gs_q3,14,gs,Greedy,60.0,66.66666666666666,0.0,77.77777777777779
3,5,gs_q3,15,gs,Greedy,73.33333333333333,66.66666666666666,66.66666666666666,77.77777777777779
3,5,gs_q3,16,gs,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
3,5,gs_q3,17,gs,Greedy,66.66666666666666,100.0,0.0,77.77777777777779
3,5,gs_q3,18,gs,Greedy,46.666666666666664,33.33333333333333,0.0,66.66666666666666
3,5,gs_q3,19,gs,Greedy,80.0,100.0,66.66666666666666,77.77777777777779
3,5,gs_q3,20,gs,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,5,gs_q3,21,gs,Greedy,53.333333333333336,100.0,0.0,55.55555555555556
3,5,gs_q3,22,gs,Greedy,53.333333333333336,66.66666666666666,0.0,66.66666666666666
3,5,gs_q3,23,gs,Greedy,80.0,33.33333333333333,66.66666666666666,100.0
3,5,gs_q3,24,gs,Greedy,73.33333333333333,100.0,33.33333333333333,77.77777777777779
3,5,gs_q3,25,gs,Greedy,60.0,100.0,66.66666666666666,44.44444444444444
3,5,gs_q3,26,gs,Greedy,60.0,33.33333333333333,33.33333333333333,77.77777777777779
3,5,gs_q3,27,gs,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
3,5,gs_q3,28,gs,Greedy,53.333333333333336,33.33333333333333,33.33333333333333,66.66666666666666
3,5,gs_q3,29,gs,Greedy,93.33333333333333,100.0,66.66666666666666,100.0
4,6,gs_q4,0,gs,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
4,6,gs_q4,1,gs,Greedy,60.0,66.66666666666666,0.0,77.77777777777779
4,6,gs_q4,2,gs,Greedy,80.0,100.0,0.0,100.0
4,6,gs_q4,3,gs,Greedy,80.0,100.0,33.33333333333333,88.88888888888889
4,6,gs_q4,4,gs,Greedy,60.0,66.66666666666666,0.0,77.77777777777779
4,6,gs_q4,5,gs,Greedy,80.0,100.0,33.33333333333333,88.88888888888889
4,6,gs_q4,6,gs,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
4,6,gs_q4,7,gs,Greedy,86.66666666666667,66.66666666666666,100.0,88.88888888888889
4,6,gs_q4,8,gs,Greedy,60.0,66.66666666666666,0.0,77.77777777777779
4,6,gs_q4,9,gs,Greedy,60.0,66.66666666666666,33.33333333333333,66.66666666666666
4,6,gs_q4,10,gs,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
4,6,gs_q4,11,gs,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
4,6,gs_q4,12,gs,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
4,6,gs_q4,13,gs,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
4,6,gs_q4,14,gs,Greedy,53.333333333333336,66.66666666666666,33.33333333333333,55.55555555555556
4,6,gs_q4,15,gs,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
4,6,gs_q4,16,gs,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
4,6,gs_q4,17,gs,Greedy,80.0,100.0,33.33333333333333,88.88888888888889
4,6,gs_q4,18,gs,Greedy,73.33333333333333,100.0,33.33333333333333,77.77777777777779
4,6,gs_q4,19,gs,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
