Qubits, depth,Program var,Run Num,category,Approach,ms all,ms X,ms Z,ms Ry
3,14,qwalk_q3_0,0,qwalk,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,1,qwalk,Greedy,73.33333333333333,100.0,33.33333333333333,77.77777777777779
3,14,qwalk_q3_0,2,qwalk,Greedy,80.0,100.0,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,3,qwalk,Greedy,60.0,100.0,33.33333333333333,55.55555555555556
3,14,qwalk_q3_0,4,qwalk,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,14,qwalk_q3_0,5,qwalk,Greedy,60.0,0.0,0.0,100.0
3,14,qwalk_q3_0,6,qwalk,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,14,qwalk_q3_0,7,qwalk,Greedy,66.66666666666666,100.0,33.33333333333333,66.66666666666666
3,14,qwalk_q3_0,8,qwalk,Greedy,66.66666666666666,100.0,0.0,77.77777777777779
3,14,qwalk_q3_0,9,qwalk,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,10,qwalk,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
3,14,qwalk_q3_0,11,qwalk,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,12,qwalk,Greedy,60.0,33.33333333333333,33.33333333333333,77.77777777777779
3,14,qwalk_q3_0,13,qwalk,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,14,qwalk,Greedy,66.66666666666666,33.33333333333333,66.66666666666666,77.77777777777779
3,14,qwalk_q3_0,15,qwalk,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,14,qwalk_q3_0,16,qwalk,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,17,qwalk,Greedy,66.66666666666666,66.66666666666666,0.0,88.88888888888889
3,14,qwalk_q3_0,18,qwalk,Greedy,80.0,100.0,0.0,100.0
3,14,qwalk_q3_0,19,qwalk,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,20,qwalk,Greedy,80.0,100.0,0.0,100.0
3,14,qwalk_q3_0,21,qwalk,Greedy,66.66666666666666,66.66666666666666,0.0,88.88888888888889
3,14,qwalk_q3_0,22,qwalk,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
3,14,qwalk_q3_0,23,qwalk,Greedy,80.0,66.66666666666666,66.66666666666666,88.88888888888889
3,14,qwalk_q3_0,24,qwalk,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,14,qwalk_q3_0,25,qwalk,Greedy,66.66666666666666,33.33333333333333,0.0,100.0
3,14,qwalk_q3_0,26,qwalk,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,14,qwalk_q3_0,27,qwalk,Greedy,93.33333333333333,100.0,66.66666666666666,100.0
3,14,qwalk_q3_0,28,qwalk,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
3,14,qwalk_q3_0,29,qwalk,Greedy,86.66666666666667,100.0,66.66666666666666,88.88888888888889
3,22,qwalk_q3_1,0,qwalk,Greedy,73.33333333333333,100.0,33.33333333333333,77.77777777777779
3,22,qwalk_q3_1,1,qwalk,Greedy,60.0,33.33333333333333,33.33333333333333,77.77777777777779
3,22,qwalk_q3_1,2,qwalk,Greedy,66.66666666666666,0.0,33.33333333333333,100.0
3,22,qwalk_q3_1,3,qwalk,Greedy,60.0,33.33333333333333,0.0,88.88888888888889
3,22,qwalk_q3_1,4,qwalk,Greedy,60.0,66.66666666666666,33.33333333333333,66.66666666666666
3,22,qwalk_q3_1,5,qwalk,Greedy,73.33333333333333,33.33333333333333,66.66666666666666,88.88888888888889
3,22,qwalk_q3_1,6,qwalk,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
3,22,qwalk_q3_1,7,qwalk,Greedy,86.66666666666667,100.0,33.33333333333333,100.0
3,22,qwalk_q3_1,8,qwalk,Greedy,53.333333333333336,66.66666666666666,0.0,66.66666666666666
3,22,qwalk_q3_1,9,qwalk,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,22,qwalk_q3_1,10,qwalk,Greedy,60.0,33.33333333333333,66.66666666666666,66.66666666666666
3,22,qwalk_q3_1,11,qwalk,Greedy,46.666666666666664,33.33333333333333,0.0,66.66666666666666
3,22,qwalk_q3_1,12,qwalk,Greedy,73.33333333333333,100.0,0.0,88.88888888888889
3,22,qwalk_q3_1,13,qwalk,Greedy,80.0,66.66666666666666,66.66666666666666,88.88888888888889
3,22,qwalk_q3_1,14,qwalk,Greedy,66.66666666666666,33.33333333333333,33.33333333333333,88.88888888888889
3,22,qwalk_q3_1,15,qwalk,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
3,22,qwalk_q3_1,16,qwalk,Greedy,66.66666666666666,100.0,66.66666666666666,55.55555555555556
3,22,qwalk_q3_1,17,qwalk,Greedy,80.0,66.66666666666666,66.66666666666666,88.88888888888889
3,22,qwalk_q3_1,18,qwalk,Greedy,73.33333333333333,66.66666666666666,33.33333333333333,88.88888888888889
3,22,qwalk_q3_1,19,qwalk,Greedy,73.33333333333333,0.0,66.66666666666666,100.0
3,22,qwalk_q3_1,20,qwalk,Greedy,60.0,33.33333333333333,33.33333333333333,77.77777777777779
3,22,qwalk_q3_1,21,qwalk,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,22,qwalk_q3_1,22,qwalk,Greedy,53.333333333333336,66.66666666666666,0.0,66.66666666666666
3,22,qwalk_q3_1,23,qwalk,Greedy,80.0,33.33333333333333,66.66666666666666,100.0
3,22,qwalk_q3_1,24,qwalk,Greedy,66.66666666666666,66.66666666666666,33.33333333333333,77.77777777777779
3,22,qwalk_q3_1,25,qwalk,Greedy,46.666666666666664,33.33333333333333,33.33333333333333,55.55555555555556
3,22,qwalk_q3_1,26,qwalk,Greedy,80.0,66.66666666666666,33.33333333333333,100.0
3,22,qwalk_q3_1,27,qwalk,Greedy,80.0,100.0,66.66666666666666,77.77777777777779
3,22,qwalk_q3_1,28,qwalk,Greedy,73.33333333333333,33.33333333333333,33.33333333333333,100.0
