category,\%(NN),\%(S),\%(M),\%(L),\#(NN) Counts,\#(S) Counts,\#(M) Counts,\#(L) Counts,Total Counts
all,2.8,2.1,0.7,0.0,,,,,
aamp,0.0,0.0,0.0,0.0,0,0,0,0,46
qwalk,5.1,2.6,2.6,0.0,2,1,1,0,39
var,4.5,4.5,0.0,0.0,2,2,0,0,44
gs,0.0,0.0,0.0,0.0,0,0,0,0,14
