category,\%(NN),\%(S),\%(M),\%(L),\#(NN) Counts,\#(S) Counts,\#(M) Counts,\#(L) Counts,Total Counts,Total Not Pass or (N)
all,18.2,6.3,4.2,7.7,,,,,,13.3
aamp,19.6,8.7,4.3,6.5,9,4,2,3,46,17.4
qwalk,7.7,2.6,5.1,0.0,3,1,2,0,39,5.1
var,29.5,6.8,4.5,18.2,13,3,2,8,44,15.9
gs,7.1,7.1,0.0,0.0,1,1,0,0,14,14.3
