run, program, qubits, run time, number_of_transformations
60, var_q2_00_R, 2, 0.019962787628173828, 3
61, var_q2_00_R, 2, 0.019936800003051758, 3
62, var_q2_00_R, 2, 0.020270586013793945, 3
63, var_q2_00_R, 2, 0.01964116096496582, 3
64, var_q2_00_R, 2, 0.020549297332763672, 3
65, var_q2_00_R, 2, 0.020523786544799805, 3
66, var_q2_00_R, 2, 0.020263195037841797, 3
67, var_q2_00_R, 2, 0.020045042037963867, 3
68, var_q2_00_R, 2, 0.019848346710205078, 3
69, var_q2_00_R, 2, 0.020048141479492188, 3
70, var_q2_00_R, 2, 0.020453453063964844, 3
71, var_q2_00_R, 2, 0.019955873489379883, 3
72, var_q2_00_R, 2, 0.020152807235717773, 3
73, var_q2_00_R, 2, 0.020284652709960938, 3
74, var_q2_00_R, 2, 0.020183324813842773, 3
75, var_q2_00_R, 2, 0.020684003829956055, 3
76, var_q2_00_R, 2, 0.021625280380249023, 3
77, var_q2_00_R, 2, 0.020306110382080078, 3
78, var_q2_00_R, 2, 0.02050018310546875, 3
79, var_q2_00_R, 2, 0.020206451416015625, 3
80, var_q2_00_R, 2, 0.020252704620361328, 3
81, var_q2_00_R, 2, 0.01987314224243164, 3
82, var_q2_00_R, 2, 0.020036697387695312, 3
83, var_q2_00_R, 2, 0.02002716064453125, 3
84, var_q2_00_R, 2, 0.02017807960510254, 3
85, var_q2_00_R, 2, 0.020231246948242188, 3
86, var_q2_00_R, 2, 0.020054101943969727, 3
87, var_q2_00_R, 2, 0.01992344856262207, 3
88, var_q2_00_R, 2, 0.020784616470336914, 3
89, var_q2_00_R, 2, 0.020680904388427734, 3
90, var_q2_00_R, 2, 0.020433425903320312, 3
91, var_q2_00_R, 2, 0.02017378807067871, 3
92, var_q2_00_R, 2, 0.020419836044311523, 3
93, var_q2_00_R, 2, 0.020194053649902344, 3
94, var_q2_00_R, 2, 0.019794702529907227, 3
95, var_q2_00_R, 2, 0.019967079162597656, 3
96, var_q2_00_R, 2, 0.020353317260742188, 3
97, var_q2_00_R, 2, 0.02043294906616211, 3
98, var_q2_00_R, 2, 0.0200040340423584, 3
99, var_q2_00_R, 2, 0.024945497512817383, 3
0, var_q2_01_R, 2, 0.02227926254272461, 3
1, var_q2_01_R, 2, 0.020389080047607422, 3
2, var_q2_01_R, 2, 0.02028059959411621, 3
3, var_q2_01_R, 2, 0.020023822784423828, 3
